Rk,Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPG,PPG,RPG,APG
1,Kareem Abdul-Jabbar,1969,1,1,1970,1989,1560,57446,15837,28307,1,18,6712,9304,2975,17440,5660,1160,3189,2527,4657,38387,.559,,.721,36.8,24.6,11.2,3.6
2,Jordan Adams,2014,1,22,2015,2016,32,263,37,92,10,26,17,28,9,30,19,19,7,16,26,101,.402,.385,.607,8.2,3.2,0.9,0.6
3,Arron Afflalo,2007,1,27,2008,2018,762,20829,2983,6633,852,2205,1380,1673,334,2176,1386,341,141,852,1481,8198,.450,.386,.825,27.3,10.8,2.9,1.8
4,Lucius Allen,1969,1,3,1970,1979,702,20159,3884,8385,,,1639,2157,381,2205,3174,604,124,247,1799,9407,.463,,.760,28.7,13.4,3.1,4.5
5,Darrell Allums,1980,5,103,1981,1981,22,276,23,67,0,1,13,22,19,65,25,5,8,23,51,59,.343,.000,.591,12.5,2.7,3.0,1.1
6,Kyle Anderson,2014,1,30,2015,2023,570,12413,1552,3228,253,732,620,867,437,2568,1477,586,357,582,892,3977,.481,.346,.715,21.8,7.0,4.5,2.6
7,Ike Anigbogu,2017,2,47,2018,2019,14,36,4,12,0,0,5,6,6,12,1,1,4,3,1,13,.333,,.833,2.6,0.9,0.9,0.1
8,Trevor Ariza,2004,2,43,2005,2022,1118,32953,4135,9804,1605,4579,1718,2350,1081,5356,2379,1628,355,1473,2205,11593,.422,.351,.731,29.5,10.4,4.8,2.1
9,Toby Bailey,1998,2,45,1999,2000,73,698,92,226,3,15,54,78,50,126,43,22,6,35,79,241,.407,.200,.692,9.6,3.3,1.7,0.6
10,Lonzo Ball,2017,1,2,2018,2022,252,8187,1117,2790,595,1633,166,287,262,1447,1563,391,162,637,547,2995,.400,.364,.578,32.5,11.9,5.7,6.2
11,Don Barksdale,,,,1952,1955,262,7460,1016,2747,,,863,1307,,2088,549,,,,941,2895,.370,,.660,28.5,11.0,8.0,2.1
12,Matt Barnes,2002,2,46,2004,2017,929,21967,2788,6388,982,2931,1031,1384,1066,4281,1691,714,444,1172,2353,7589,.436,.335,.745,23.6,8.2,4.6,1.8
13,Henry Bibby,1972,4,58,1973,1981,675,15475,2149,5073,43,147,1434,1834,463,1581,2259,561,34,573,1364,5775,.424,,.782,22.9,8.6,2.3,3.3
14,Jonah Bolden,2017,2,36,2019,2020,51,686,84,173,34,100,15,31,50,174,40,20,41,38,109,217,.486,.340,.484,13.5,4.3,3.4,0.8
15,Cedric Bozeman,,,,2007,2007,23,199,11,39,2,13,2,6,3,23,9,5,2,9,32,26,.282,.154,.333,8.7,1.1,1.0,0.4
16,Moses Brown,,,,2020,2023,128,1592,275,482,0,0,157,278,253,671,16,43,78,81,192,707,.571,,.565,12.4,5.5,5.2,0.1
17,Mitchell Butler,,,,1994,2004,362,5464,707,1613,95,313,359,576,246,717,342,214,53,353,576,1868,.438,.304,.623,15.1,5.2,2.0,0.9
18,Darren Collison,2009,1,21,2010,2022,711,20833,3272,6944,635,1613,1682,1973,332,1889,3545,820,106,1383,1212,8861,.471,.394,.853,29.3,12.5,2.7,5.0
19,Baron Davis,1999,1,3,2000,2012,835,28592,4888,11951,1332,4159,2339,3292,762,3183,6025,1530,360,2308,2361,13447,.409,.320,.711,34.2,16.1,3.8,7.2
20,Darren Daye,1983,3,57,1984,1988,328,5208,849,1730,2,17,525,771,321,844,672,191,53,429,607,2225,.491,.118,.681,15.9,6.8,2.6,2.0
21,Larry Drew II,,,,2015,2018,22,289,27,82,7,35,2,3,4,18,55,6,0,28,19,63,.329,.200,.667,13.1,2.9,0.8,2.5
22,Ralph Drollinger,1976 1977 1978,7 8 5,121 152 105,1981,1981,6,67,7,14,0,0,1,4,5,19,14,1,2,13,16,15,.500,,.250,11.2,2.5,3.2,2.3
23,Mark Eaton,1979 1982,5 4,107 72,1983,1993,875,25169,2072,4526,0,2,1072,1653,1857,6939,840,368,3064,1293,2955,5216,.458,.000,.649,28.8,6.0,7.9,1.0
24,Tyus Edney,1995,2,47,1996,2001,226,4743,583,1438,65,202,497,617,122,393,910,217,6,395,387,1728,.405,.322,.806,21.0,7.6,1.7,4.0
